epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.193,0.96004,1.7227,0.96975,0.99324,0.34097,0.95158,0.71868,0.82267,2.68939,0.88746,0.000654321,0.000654321,0.000654321
2,941.998,0.90607,0.87418,0.96729,0.76245,0.84687,0.80655,0.58153,0.9347,1.22136,1.02992,0.00130791,0.00130791,0.00130791
3,1414.37,0.90864,0.66305,0.98185,0.96904,0.9478,0.98771,0.74543,0.87984,0.91331,0.99282,0.0019483,0.0019483,0.0019483
4,1885.5,0.90804,0.57467,0.98495,0.96278,0.97912,0.99274,0.75283,0.86657,0.64432,0.98235,0.0019406,0.0019406,0.0019406
5,2357.38,0.87211,0.51216,0.97561,0.9828,0.98724,0.99376,0.78028,0.81232,0.48221,0.96063,0.0019208,0.0019208,0.0019208
6,2825.5,0.86286,0.49324,0.96983,0.96474,0.92055,0.96148,0.73787,0.85706,0.56001,0.97693,0.001901,0.001901,0.001901
7,3295.42,0.85084,0.47499,0.9663,0.9833,0.99072,0.99444,0.77063,0.82035,0.57051,0.96479,0.0018812,0.0018812,0.0018812
8,3764.09,0.84534,0.45862,0.968,0.99071,0.98998,0.99486,0.79492,0.77709,0.43346,0.93987,0.0018614,0.0018614,0.0018614
9,4228.86,0.82546,0.44079,0.95383,0.98716,0.98724,0.99316,0.80374,0.75947,0.39887,0.93173,0.0018416,0.0018416,0.0018416
10,4696.5,0.80471,0.4345,0.95167,0.98713,0.9787,0.99356,0.79929,0.78875,0.40795,0.94718,0.0018218,0.0018218,0.0018218
11,5139.82,0.81184,0.4268,0.95567,0.98389,0.9884,0.99415,0.80352,0.76843,0.39911,0.94195,0.001802,0.001802,0.001802
12,5557.09,0.79593,0.41581,0.94362,0.99369,0.9942,0.99485,0.80888,0.77371,0.36499,0.93314,0.0017822,0.0017822,0.0017822
13,5962.48,0.80524,0.41303,0.95044,0.98847,0.9945,0.99454,0.79862,0.77987,0.36065,0.93548,0.0017624,0.0017624,0.0017624
14,6370.86,0.78844,0.40127,0.94335,0.99073,0.99768,0.99455,0.81676,0.74397,0.35793,0.93315,0.0017426,0.0017426,0.0017426
15,6782.01,0.77446,0.39681,0.93642,0.99112,0.99536,0.99485,0.82774,0.73735,0.34286,0.92652,0.0017228,0.0017228,0.0017228
16,7189.11,0.78002,0.397,0.9402,0.99307,0.99696,0.99481,0.81076,0.77992,0.35943,0.93734,0.001703,0.001703,0.001703
17,7597.36,0.77336,0.39381,0.94174,0.99079,0.99792,0.99451,0.81568,0.73469,0.33914,0.92375,0.0016832,0.0016832,0.0016832
18,8005.85,0.76948,0.38935,0.93301,0.97929,0.9942,0.9934,0.80731,0.75968,0.34165,0.93234,0.0016634,0.0016634,0.0016634
19,8413.52,0.77806,0.39121,0.94292,0.9951,0.99884,0.99441,0.81725,0.76252,0.33973,0.92898,0.0016436,0.0016436,0.0016436
20,8820.34,0.76276,0.37743,0.9334,0.98624,0.99751,0.99413,0.83074,0.73628,0.32437,0.9233,0.0016238,0.0016238,0.0016238
21,9228.29,0.76485,0.38117,0.93255,0.99041,0.99884,0.99442,0.81568,0.73135,0.32703,0.91942,0.001604,0.001604,0.001604
22,9634.1,0.76142,0.37564,0.93741,0.99422,0.99733,0.99494,0.83013,0.71555,0.31125,0.91626,0.0015842,0.0015842,0.0015842
23,10049.8,0.74987,0.36504,0.93323,0.99277,0.99884,0.99475,0.83447,0.73064,0.32156,0.92184,0.0015644,0.0015644,0.0015644
24,10512.1,0.7561,0.36616,0.93685,0.99766,1,0.995,0.83921,0.70698,0.30309,0.91101,0.0015446,0.0015446,0.0015446
25,10967.9,0.75322,0.36751,0.9374,0.99593,1,0.99492,0.83641,0.72655,0.30352,0.91512,0.0015248,0.0015248,0.0015248
26,11386.9,0.75779,0.36886,0.93941,0.99371,0.99884,0.99471,0.82743,0.70897,0.30834,0.90964,0.001505,0.001505,0.001505
27,11806.8,0.74141,0.35749,0.93297,0.99395,1,0.99467,0.83635,0.72486,0.31053,0.91529,0.0014852,0.0014852,0.0014852
28,12224,0.74877,0.3637,0.92967,0.99189,1,0.99475,0.84091,0.70673,0.30363,0.9116,0.0014654,0.0014654,0.0014654
29,12642.4,0.74899,0.36034,0.93343,0.99524,1,0.99474,0.84568,0.70065,0.28928,0.91101,0.0014456,0.0014456,0.0014456
30,13059.9,0.74597,0.35984,0.92735,0.99538,0.99995,0.99479,0.84259,0.70122,0.29879,0.90995,0.0014258,0.0014258,0.0014258
31,13464.1,0.74407,0.35332,0.92913,0.99514,1,0.99443,0.83602,0.69789,0.29409,0.90787,0.001406,0.001406,0.001406
32,13881.4,0.73826,0.35138,0.92993,0.99432,0.99652,0.99435,0.84666,0.70043,0.29445,0.90932,0.0013862,0.0013862,0.0013862
33,15024,0.7249,0.34717,0.92512,0.99471,0.99884,0.99489,0.8491,0.69817,0.29613,0.90722,0.0013664,0.0013664,0.0013664
34,16366.7,0.72764,0.34791,0.92662,0.99768,0.99979,0.99496,0.85006,0.69364,0.28042,0.90667,0.0013466,0.0013466,0.0013466
35,16793.8,0.73405,0.3409,0.92527,0.99299,0.98608,0.99461,0.84563,0.70612,0.32654,0.91175,0.0013268,0.0013268,0.0013268
36,17212.7,0.73053,0.34267,0.92335,0.99507,1,0.99493,0.84915,0.6936,0.29504,0.90691,0.001307,0.001307,0.001307
37,17685.3,0.73105,0.34265,0.92652,0.99624,1,0.9946,0.84849,0.70209,0.29049,0.9097,0.0012872,0.0012872,0.0012872
38,19332.4,0.71117,0.33489,0.91905,0.99639,1,0.99431,0.85153,0.68543,0.27645,0.90625,0.0012674,0.0012674,0.0012674
39,19752,0.71444,0.33522,0.91889,0.99516,1,0.99409,0.85321,0.68835,0.28065,0.90172,0.0012476,0.0012476,0.0012476
40,20170.6,0.70868,0.3331,0.9162,0.99538,0.99992,0.99483,0.84656,0.68805,0.27809,0.90541,0.0012278,0.0012278,0.0012278
41,20589.4,0.71234,0.33485,0.92117,0.99188,0.99652,0.99489,0.85397,0.69439,0.2789,0.90791,0.001208,0.001208,0.001208
42,21012,0.71746,0.33226,0.91588,0.99859,0.99768,0.9949,0.84594,0.69136,0.27663,0.90321,0.0011882,0.0011882,0.0011882
43,21426.9,0.71348,0.33032,0.91816,0.99653,0.99992,0.99478,0.85096,0.69057,0.27633,0.90605,0.0011684,0.0011684,0.0011684
44,21847.5,0.71632,0.33338,0.91603,0.99603,0.99884,0.99492,0.84976,0.69968,0.27641,0.9054,0.0011486,0.0011486,0.0011486
45,22266.8,0.71177,0.32843,0.91949,0.99884,0.99843,0.99499,0.85943,0.68792,0.26505,0.90406,0.0011288,0.0011288,0.0011288
46,22687.6,0.70551,0.32481,0.91775,0.99547,0.99884,0.99494,0.85144,0.69006,0.27906,0.90504,0.001109,0.001109,0.001109
47,23698,0.71482,0.32561,0.923,0.99884,0.99996,0.995,0.85639,0.68246,0.26601,0.90193,0.0010892,0.0010892,0.0010892
48,24117.5,0.70355,0.32237,0.91467,0.99754,0.99884,0.99495,0.85577,0.68107,0.26985,0.90224,0.0010694,0.0010694,0.0010694
49,58870.3,0.70758,0.32385,0.91618,0.99653,0.99874,0.99487,0.85357,0.68175,0.26932,0.90337,0.0010496,0.0010496,0.0010496
50,60337.3,0.69642,0.3207,0.90946,0.9965,0.99884,0.995,0.85651,0.68973,0.26308,0.90079,0.0010298,0.0010298,0.0010298
51,60756.3,0.69275,0.31649,0.91293,0.99754,0.99884,0.99498,0.86001,0.67463,0.26326,0.90044,0.00101,0.00101,0.00101
52,61174.6,0.69301,0.3154,0.91358,0.99653,0.9999,0.99476,0.85062,0.69377,0.2667,0.90389,0.0009902,0.0009902,0.0009902
53,61592.2,0.69177,0.3136,0.91175,0.99752,0.99884,0.995,0.8632,0.67169,0.25585,0.89905,0.0009704,0.0009704,0.0009704
54,62011.4,0.69405,0.31709,0.91453,0.99753,0.99884,0.99491,0.84788,0.67965,0.27072,0.90216,0.0009506,0.0009506,0.0009506
55,62429.8,0.69615,0.32005,0.91606,0.99499,1,0.99438,0.85419,0.68517,0.26949,0.90145,0.0009308,0.0009308,0.0009308
56,62848.6,0.68565,0.30871,0.90726,0.99644,1,0.99497,0.85948,0.68098,0.2539,0.89887,0.000911,0.000911,0.000911
57,63264,0.68812,0.31026,0.90901,0.99769,0.99998,0.995,0.86171,0.67534,0.26007,0.89863,0.0008912,0.0008912,0.0008912
58,63677.4,0.69411,0.31162,0.91004,0.99883,0.99768,0.99499,0.86236,0.66868,0.25629,0.89933,0.0008714,0.0008714,0.0008714
59,64097.5,0.68746,0.30735,0.91201,0.99788,0.99884,0.995,0.85919,0.67905,0.25331,0.89955,0.0008516,0.0008516,0.0008516
60,64516.9,0.67804,0.30838,0.91015,0.99758,1,0.995,0.86045,0.67561,0.25185,0.89812,0.0008318,0.0008318,0.0008318
61,64936,0.67726,0.30272,0.91023,0.99653,0.99955,0.99474,0.86183,0.67591,0.25045,0.89981,0.000812,0.000812,0.000812
62,65354.4,0.67815,0.29855,0.90807,0.99653,0.99996,0.99452,0.8637,0.67033,0.25189,0.89634,0.0007922,0.0007922,0.0007922
63,65773.3,0.68317,0.30553,0.91012,0.99651,1,0.995,0.86197,0.67597,0.25286,0.8974,0.0007724,0.0007724,0.0007724
64,66192.2,0.67862,0.3049,0.90965,0.99871,1,0.99477,0.86185,0.66999,0.24973,0.90022,0.0007526,0.0007526,0.0007526
65,66610,0.67533,0.2997,0.90768,0.99751,1,0.99489,0.85968,0.6703,0.24865,0.89676,0.0007328,0.0007328,0.0007328
66,67026.9,0.67837,0.30051,0.90613,0.99762,1,0.99475,0.86309,0.67307,0.25148,0.89719,0.000713,0.000713,0.000713
67,67447.3,0.66645,0.29724,0.89976,0.99646,1,0.99493,0.86435,0.66774,0.24732,0.89645,0.0006932,0.0006932,0.0006932
68,67862.2,0.67649,0.29784,0.90557,0.99766,1,0.9947,0.86083,0.66974,0.24397,0.89691,0.0006734,0.0006734,0.0006734
69,68277.4,0.66997,0.29024,0.90563,0.99758,1,0.99497,0.86346,0.6718,0.24522,0.89711,0.0006536,0.0006536,0.0006536
70,68693.1,0.66584,0.29315,0.90648,0.99781,0.99884,0.99479,0.8622,0.66512,0.24636,0.89412,0.0006338,0.0006338,0.0006338
71,69111.5,0.66547,0.2907,0.90245,0.99762,1,0.99475,0.86246,0.66073,0.2393,0.89246,0.000614,0.000614,0.000614
72,69529.2,0.66363,0.28932,0.90315,0.99769,0.99997,0.99499,0.86447,0.66708,0.2427,0.89343,0.0005942,0.0005942,0.0005942
73,69940.1,0.66528,0.28993,0.9033,0.99752,1,0.99493,0.86176,0.67266,0.24021,0.89621,0.0005744,0.0005744,0.0005744
74,70356.9,0.65696,0.28588,0.89779,0.99768,0.9999,0.99499,0.86503,0.66431,0.24113,0.8954,0.0005546,0.0005546,0.0005546
75,70773.3,0.65897,0.28488,0.90148,0.99769,0.99992,0.99495,0.86484,0.6647,0.23772,0.89303,0.0005348,0.0005348,0.0005348
76,71171.7,0.65315,0.28492,0.89997,0.99653,0.99995,0.99467,0.86588,0.66292,0.23724,0.89421,0.000515,0.000515,0.000515
77,71587,0.65395,0.28242,0.89983,0.99768,0.99973,0.99497,0.86452,0.66384,0.23663,0.8945,0.0004952,0.0004952,0.0004952
78,72002.7,0.64419,0.27498,0.89707,0.99533,1,0.99496,0.86223,0.66258,0.2372,0.89498,0.0004754,0.0004754,0.0004754
79,72419.7,0.64979,0.27773,0.90051,0.99754,0.99884,0.99481,0.86575,0.6618,0.23628,0.89589,0.0004556,0.0004556,0.0004556
80,72838.8,0.65067,0.27481,0.89543,0.99761,1,0.99498,0.86768,0.66492,0.23362,0.89608,0.0004358,0.0004358,0.0004358
81,73259.3,0.65405,0.27764,0.8977,0.99763,1,0.99499,0.86707,0.66239,0.23536,0.89609,0.000416,0.000416,0.000416
82,73678.1,0.65124,0.27762,0.89617,0.99757,1,0.995,0.86612,0.66476,0.23478,0.89297,0.0003962,0.0003962,0.0003962
83,74093.3,0.63669,0.27461,0.89514,0.99653,0.99959,0.99497,0.86696,0.66102,0.23397,0.89609,0.0003764,0.0003764,0.0003764
84,74509.4,0.64531,0.27495,0.89806,0.9953,1,0.99498,0.86385,0.66377,0.23554,0.89468,0.0003566,0.0003566,0.0003566
85,74927.6,0.63821,0.27204,0.89645,0.99768,0.99989,0.99492,0.86663,0.66146,0.23236,0.89465,0.0003368,0.0003368,0.0003368
86,75344.2,0.64009,0.27355,0.89518,0.99653,0.99916,0.99499,0.86338,0.66325,0.23264,0.89485,0.000317,0.000317,0.000317
87,75764,0.63893,0.26851,0.89583,0.99755,1,0.995,0.8627,0.66737,0.23358,0.896,0.0002972,0.0002972,0.0002972
88,76182.7,0.63369,0.26695,0.89382,0.99756,1,0.995,0.86596,0.66058,0.23149,0.89404,0.0002774,0.0002774,0.0002774
89,76601.9,0.62415,0.26313,0.8904,0.99746,1,0.995,0.86491,0.66431,0.23224,0.89434,0.0002576,0.0002576,0.0002576
90,77021.2,0.63681,0.26661,0.8961,0.99756,1,0.99497,0.86794,0.66306,0.22885,0.89386,0.0002378,0.0002378,0.0002378
91,77431.8,0.60856,0.23696,0.88429,0.99649,1,0.995,0.85923,0.66279,0.23247,0.89517,0.000218,0.000218,0.000218
92,77840.9,0.60397,0.23486,0.88093,0.99768,0.99991,0.99499,0.86305,0.66374,0.23247,0.89533,0.0001982,0.0001982,0.0001982
93,78280.6,0.59991,0.23072,0.87664,0.99769,0.99992,0.995,0.86141,0.66335,0.23528,0.8962,0.0001784,0.0001784,0.0001784
94,78733.9,0.59987,0.23189,0.87921,0.99758,1,0.995,0.86253,0.66131,0.23141,0.89578,0.0001586,0.0001586,0.0001586
95,79187.1,0.59647,0.22902,0.87774,0.99757,1,0.995,0.86596,0.66126,0.22954,0.89504,0.0001388,0.0001388,0.0001388
96,79639.1,0.59349,0.22866,0.87722,0.99829,0.99884,0.995,0.86829,0.66048,0.22919,0.89497,0.000119,0.000119,0.000119
97,80092.2,0.59033,0.22538,0.87716,0.99768,0.9999,0.995,0.86604,0.6616,0.2296,0.8949,9.92e-05,9.92e-05,9.92e-05
98,80521.6,0.58649,0.2226,0.875,0.99783,0.99884,0.995,0.86548,0.6612,0.22795,0.89597,7.94e-05,7.94e-05,7.94e-05
99,80935.4,0.58306,0.22183,0.87375,0.99759,0.99884,0.995,0.86522,0.66064,0.22868,0.89556,5.96e-05,5.96e-05,5.96e-05
100,81350.2,0.58038,0.22035,0.87455,0.99769,0.99996,0.995,0.86352,0.65976,0.22716,0.89543,3.98e-05,3.98e-05,3.98e-05
