epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.94,0.92204,1.10932,0.99174,0.97247,0.99115,0.99375,0.69829,1.25246,0.78169,1.35736,0.000665678,0.000665678,0.000665678
2,199.036,0.91849,0.593,0.99498,1,0.98099,0.99426,0.74045,1.13665,0.54227,1.31876,0.00130596,0.00130596,0.00130596
3,290.455,0.89773,0.52422,0.99228,0.99651,0.9823,0.99474,0.7502,1.10002,0.55327,1.20239,0.00191985,0.00191985,0.00191985
4,381.417,0.88335,0.49852,0.98809,1,0.99046,0.995,0.75349,1.06132,0.52685,1.17178,0.0018812,0.0018812,0.0018812
5,472.52,0.8566,0.47163,0.9758,0.99959,0.9823,0.99171,0.76769,1.11798,0.48111,1.28405,0.0018416,0.0018416,0.0018416
6,563.804,0.83332,0.45309,0.96847,0.99931,0.9823,0.99482,0.78212,1.062,0.48897,1.17308,0.001802,0.001802,0.001802
7,654.618,0.82643,0.43677,0.96627,0.99828,0.9823,0.99482,0.76986,1.07379,0.43883,1.18556,0.0017624,0.0017624,0.0017624
8,745.599,0.81331,0.42599,0.95719,0.99085,0.99115,0.99473,0.7727,1.09873,0.5089,1.25612,0.0017228,0.0017228,0.0017228
9,836.354,0.81363,0.41939,0.95934,1,0.98173,0.98865,0.75721,1.04362,0.50538,1.18288,0.0016832,0.0016832,0.0016832
10,927.42,0.80006,0.40986,0.95492,0.99938,0.9823,0.99491,0.77677,1.02528,0.43273,1.23504,0.0016436,0.0016436,0.0016436
11,1019.02,0.78831,0.40282,0.94964,0.9993,0.99115,0.995,0.79464,1.05477,0.4142,1.22842,0.001604,0.001604,0.001604
12,1110.54,0.787,0.39915,0.94751,0.99994,1,0.995,0.79233,1.20189,0.44204,1.4271,0.0015644,0.0015644,0.0015644
13,1201.76,0.78752,0.39524,0.94897,0.99106,0.9812,0.98915,0.78694,1.02574,0.46264,1.16203,0.0015248,0.0015248,0.0015248
14,1292.81,0.76993,0.38849,0.9467,0.9994,0.99115,0.995,0.81181,0.98512,0.40096,1.15061,0.0014852,0.0014852,0.0014852
15,1384.14,0.77512,0.38704,0.94694,0.99944,0.99115,0.995,0.78777,1.00022,0.39605,1.13514,0.0014456,0.0014456,0.0014456
16,1474.71,0.76517,0.37202,0.94049,0.99957,0.9823,0.99491,0.8083,0.96779,0.36831,1.15167,0.001406,0.001406,0.001406
17,1565.71,0.75756,0.36755,0.93956,0.99923,0.9823,0.99411,0.78321,0.97714,0.37559,1.13742,0.0013664,0.0013664,0.0013664
18,1656.36,0.76374,0.37387,0.94262,1,0.98217,0.99491,0.8085,0.96335,0.39402,1.10942,0.0013268,0.0013268,0.0013268
19,1747.83,0.74775,0.36328,0.93751,1,0.99096,0.995,0.8122,1.00711,0.39434,1.20338,0.0012872,0.0012872,0.0012872
20,1839.11,0.7529,0.36197,0.93898,0.99971,1,0.995,0.81831,0.98569,0.34738,1.15729,0.0012476,0.0012476,0.0012476
21,1930.55,0.75107,0.36021,0.9372,1,0.9957,0.995,0.82554,0.96552,0.35879,1.15542,0.001208,0.001208,0.001208
22,2022.17,0.74366,0.35388,0.93431,0.99929,0.9823,0.98968,0.81128,0.99027,0.37962,1.15848,0.0011684,0.0011684,0.0011684
23,2113.67,0.73887,0.35106,0.93487,0.99936,0.9823,0.99482,0.81306,0.98946,0.38601,1.16624,0.0011288,0.0011288,0.0011288
24,2205.01,0.7324,0.33942,0.92858,0.99937,0.9823,0.99449,0.82446,0.97977,0.38807,1.16777,0.0010892,0.0010892,0.0010892
25,2296.23,0.72364,0.3401,0.9235,0.99961,0.99115,0.995,0.82508,0.93288,0.33886,1.07459,0.0010496,0.0010496,0.0010496
26,2392.74,0.7228,0.33609,0.92585,1,0.99055,0.995,0.82086,0.97175,0.36606,1.11201,0.00101,0.00101,0.00101
27,2488.36,0.71492,0.33491,0.9239,0.99928,0.9823,0.99014,0.82212,0.96606,0.37235,1.11722,0.0009704,0.0009704,0.0009704
28,2586.05,0.73354,0.3377,0.93069,0.99943,0.9823,0.99474,0.82175,0.97108,0.36729,1.13869,0.0009308,0.0009308,0.0009308
29,2683.05,0.71754,0.33328,0.92686,1,0.99113,0.995,0.82389,0.95807,0.34662,1.12022,0.0008912,0.0008912,0.0008912
30,2780.03,0.70749,0.32723,0.92265,1,0.99107,0.995,0.83136,0.96754,0.3733,1.16263,0.0008516,0.0008516,0.0008516
31,2876.13,0.71157,0.32646,0.92185,0.99942,0.9823,0.99031,0.81621,0.97087,0.39088,1.14941,0.000812,0.000812,0.000812
32,2956.39,0.70219,0.32017,0.9205,0.99954,0.99115,0.995,0.83874,0.96706,0.34912,1.13771,0.0007724,0.0007724,0.0007724
33,3036.36,0.7037,0.32459,0.91824,0.99942,0.9823,0.99466,0.82558,0.96693,0.36774,1.14904,0.0007328,0.0007328,0.0007328
34,3116.78,0.70036,0.31775,0.92024,1,0.99099,0.995,0.83273,0.95289,0.38881,1.12266,0.0006932,0.0006932,0.0006932
35,3196.6,0.70887,0.31971,0.92253,1,0.99058,0.995,0.82456,0.90894,0.38431,1.07145,0.0006536,0.0006536,0.0006536
36,3277,0.69007,0.31186,0.91025,0.99937,0.9823,0.99491,0.84305,0.91895,0.33912,1.09044,0.000614,0.000614,0.000614
37,3356.86,0.69544,0.31015,0.91613,0.99947,0.99115,0.995,0.83502,0.95888,0.34088,1.12016,0.0005744,0.0005744,0.0005744
38,3437.21,0.68633,0.30621,0.91314,1,0.99062,0.995,0.84137,0.94515,0.35258,1.08854,0.0005348,0.0005348,0.0005348
39,3517.61,0.68381,0.30503,0.91167,0.99942,0.9823,0.99491,0.83272,0.96172,0.34446,1.11551,0.0004952,0.0004952,0.0004952
40,3598.04,0.68403,0.30191,0.91124,0.99944,0.9823,0.99457,0.84708,0.94393,0.35029,1.12431,0.0004556,0.0004556,0.0004556
41,3702.58,0.66762,0.26911,0.90636,0.99941,0.9823,0.99474,0.83617,0.93279,0.34323,1.11971,0.000416,0.000416,0.000416
42,3781.47,0.65967,0.26776,0.90331,0.99942,0.9823,0.99491,0.82421,0.93887,0.37162,1.10856,0.0003764,0.0003764,0.0003764
43,3861.4,0.65441,0.26174,0.90079,1,0.99068,0.995,0.83599,0.91128,0.33316,1.05602,0.0003368,0.0003368,0.0003368
