epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.898,0.94151,1.41039,0.98371,0.9959,0.996,0.99496,0.77143,0.84565,0.63358,0.96663,0.000663212,0.000663212,0.000663212
2,265.959,0.91011,0.73254,0.96024,0.99752,0.996,0.995,0.72482,0.98107,0.48705,1.02195,0.00131891,0.00131891,0.00131891
3,388.04,0.91078,0.59613,0.95916,0.99006,0.99594,0.99496,0.74765,0.8569,0.54027,0.96422,0.0019636,0.0019636,0.0019636
4,480.347,0.8734,0.52186,0.95778,0.99951,0.998,0.995,0.79246,0.82285,0.41478,0.95698,0.0019505,0.0019505,0.0019505
5,619.752,0.87931,0.50045,0.95762,0.99343,1,0.99498,0.80198,0.82234,0.39134,0.94463,0.001934,0.001934,0.001934
6,716.782,0.83041,0.46891,0.93807,0.99857,0.996,0.995,0.80802,0.81653,0.39776,0.95509,0.0019175,0.0019175,0.0019175
7,868.856,0.83629,0.45683,0.94119,0.99881,0.998,0.995,0.79926,0.81154,0.38392,0.93975,0.001901,0.001901,0.001901
8,994.093,0.83929,0.45225,0.94061,0.99599,0.99306,0.99494,0.80812,0.80811,0.36774,0.94527,0.0018845,0.0018845,0.0018845
9,1113.12,0.81379,0.43904,0.93933,0.9917,1,0.9948,0.8199,0.77321,0.36499,0.93099,0.001868,0.001868,0.001868
10,1255.24,0.79996,0.43361,0.92685,0.99969,1,0.995,0.80271,0.81663,0.36298,0.94355,0.0018515,0.0018515,0.0018515
11,1382.5,0.80593,0.42812,0.92772,0.99783,1,0.995,0.83709,0.7631,0.34378,0.92689,0.001835,0.001835,0.001835
12,1520.91,0.80662,0.41757,0.93675,0.9995,0.998,0.995,0.8115,0.83772,0.36341,0.95109,0.0018185,0.0018185,0.0018185
13,1655.64,0.79618,0.41392,0.93141,0.99979,1,0.995,0.81927,0.79929,0.34884,0.93805,0.001802,0.001802,0.001802
14,1775.15,0.7936,0.41095,0.93021,1,0.99971,0.995,0.82037,0.7747,0.33237,0.92958,0.0017855,0.0017855,0.0017855
15,1869.62,0.79874,0.40531,0.93692,0.99937,1,0.995,0.82491,0.78155,0.33237,0.92734,0.001769,0.001769,0.001769
16,2041.22,0.78289,0.40477,0.92932,0.99853,0.996,0.995,0.81634,0.79898,0.33442,0.93539,0.0017525,0.0017525,0.0017525
17,2159.42,0.7894,0.39607,0.92602,0.99981,1,0.995,0.82368,0.80371,0.34306,0.93433,0.001736,0.001736,0.001736
18,2308.59,0.77848,0.39524,0.92909,0.99931,1,0.995,0.83167,0.77361,0.32713,0.926,0.0017195,0.0017195,0.0017195
19,2407.44,0.76587,0.38363,0.9198,0.99759,1,0.995,0.83985,0.77308,0.31092,0.92392,0.001703,0.001703,0.001703
20,2564.46,0.76099,0.38271,0.91783,0.9993,1,0.995,0.84134,0.7418,0.32014,0.91816,0.0016865,0.0016865,0.0016865
21,2686.47,0.75381,0.37827,0.91456,0.99793,1,0.995,0.84426,0.73631,0.3161,0.91816,0.00167,0.00167,0.00167
22,2794.51,0.75079,0.37753,0.91479,0.99821,1,0.995,0.83889,0.77128,0.31685,0.92786,0.0016535,0.0016535,0.0016535
23,2945.3,0.75482,0.37153,0.91794,0.99962,1,0.995,0.83939,0.75868,0.32497,0.92129,0.001637,0.001637,0.001637
24,3089.28,0.75368,0.37625,0.92139,0.99576,1,0.995,0.81374,0.74619,0.30447,0.91516,0.0016205,0.0016205,0.0016205
25,3202.18,0.75544,0.37181,0.9169,0.9997,1,0.995,0.81464,0.80646,0.32376,0.93428,0.001604,0.001604,0.001604
26,3320.18,0.76557,0.37568,0.9172,0.99971,1,0.995,0.82558,0.77149,0.30955,0.92683,0.0015875,0.0015875,0.0015875
27,3484.82,0.74709,0.36683,0.91726,0.99596,1,0.995,0.84251,0.75131,0.30534,0.91778,0.001571,0.001571,0.001571
28,3608.2,0.74418,0.36969,0.9128,0.99972,1,0.995,0.8263,0.76425,0.30685,0.9274,0.0015545,0.0015545,0.0015545
29,3764.7,0.74641,0.36115,0.9181,0.99946,1,0.995,0.84004,0.76684,0.30832,0.91988,0.001538,0.001538,0.001538
30,3857.87,0.7411,0.36455,0.91229,0.99984,1,0.995,0.84417,0.74958,0.30075,0.91756,0.0015215,0.0015215,0.0015215
31,3953.62,0.7337,0.36217,0.91206,0.99983,1,0.995,0.8479,0.73372,0.30527,0.91258,0.001505,0.001505,0.001505
