epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1101,0.81755,2.04182,0.91664,0.74421,0.4,0.71771,0.43147,1.06106,2.53529,0.92433,0.00065873,0.00065873,0.00065873
2,45.6833,0.76223,1.4222,0.88077,1,0.94797,0.98637,0.73243,0.95269,1.51535,0.90145,0.00119418,0.00119418,0.00119418
3,54.2363,0.76081,1.22114,0.90043,0.96253,0.875,0.93679,0.65017,1.14488,1.05718,0.95815,0.00159763,0.00159763,0.00159763
4,62.6073,0.72045,1.03718,0.88157,0.99834,0.975,0.9936,0.74249,0.86033,0.76835,0.87585,0.001406,0.001406,0.001406
5,71.0204,0.67662,0.89866,0.88057,1,0.99848,0.995,0.77105,0.90055,0.71412,0.89578,0.001208,0.001208,0.001208
6,79.2833,0.62798,0.77243,0.85337,0.99703,1,0.995,0.76113,0.82163,0.70056,0.87014,0.00101,0.00101,0.00101
7,87.488,0.60269,0.69941,0.85212,0.99844,1,0.995,0.70493,0.96115,0.65991,0.87591,0.000812,0.000812,0.000812
8,95.7606,0.5876,0.64216,0.82745,0.99814,1,0.995,0.76914,0.83769,0.59545,0.85952,0.000614,0.000614,0.000614
9,104.286,0.57003,0.60129,0.83083,0.99832,1,0.995,0.75434,0.87129,0.59001,0.85884,0.000416,0.000416,0.000416
10,112.529,0.54705,0.56748,0.82366,0.99785,1,0.995,0.77231,0.80217,0.58913,0.85314,0.000218,0.000218,0.000218
